"area","balcony","basement","bath_tube","building_plot","cabletv","ceiling","cheminee","elevator","first_time","floors","furnished","home_type","kids_friendly","laundry","minergie","new_building","newly_built","oldbuilding","oven","parking_indoor","parking_outside","playground","pool","price","quiet","raised_groundfloor","rooms","sale","sunny","terrace","topstorage","veranda","wheelchair","year","year_built","zipcode"
88.8411291179281,1,0,0,0,0,0,0,0,0,1.51879353513781,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,1903,0,0,3.5,1,0,0,0,0,0,2019,2020,3132
123.628656998883,0,0,0,0,0,0,0,0,0,2.09340203183351,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,1346,0,0,4.5,1,0,0,0,0,0,2016,1984,3954
88,0,1,0,0,0,0,0,0,0,1.48212880080506,0,"Wohnung",0,1,0,0,0,0,0,0,0,0,0,1921,0,0,3.5,1,0,0,0,0,1,2018,2013,7546
180,0,0,0,0,1,0,0,1,0,2.56552037636029,0,"Maisonette",0,0,1,0,1,0,0,1,0,0,0,383,0,0,6.5,1,0,0,0,0,1,2016,2015,6062
119,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,1,1,0,0,0,1,0,0,2032,0,0,4.5,1,0,0,0,0,0,2019,2018,9033
126,1,0,0,0,0,0,0,0,0,1.75990787026403,0,"Wohnung",1,0,0,0,0,0,0,0,0,0,0,2460,0,0,4.5,1,0,0,0,0,0,2013,1977.21930612734,1092
160,1,1,0,0,1,0,0,1,0,1,0,"Maisonette",0,1,0,0,0,0,0,0,0,0,0,211,0,0,5,1,0,1,0,0,0,2014,1991,1242
85,0,0,0,0,0,0,0,0,0,1.89583741073442,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,2059,0,0,4.5,1,0,0,0,0,0,2017,2007,1873
100,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,1592,0,0,4.5,1,0,0,0,0,0,2013,1968,8913
190,0,0,0,0,0,0,0,0,0,2.12491805526847,0,"Wohnung",0,0,0,0,0,0,0,0,1,0,0,758,0,0,6,1,0,0,0,0,0,2014,1977.26677074781,1222
123,1,0,0,0,0,0,0,1,0,2,0,"Attika",1,0,0,0,1,0,0,1,0,0,0,2189,0,0,4.5,1,0,0,0,0,0,2015,2016,8187
